,word,frequency,Tag of word,,,,feature,,,,
0, pron,14642,"(' pron', 'NN')",,,," leather, cover, gel, cushy",, saddle,, comfortable
1, the,6953,"(' the', 'NN')",,,,weight,, bike,, well
2, be,6807,"(' be', 'NNP')",,,,feeling,, seat,, pro
3,  ,4533,"('  ', 'NNP')",,,,price,, leather,, old
4, a,4400,"(' a', 'NNP')",,,,color,, look,, imperial
5, to,3355,"(' to', 'NNP')",,,,,, time,, good
6, saddle,3087,"(' saddle', 'NNP')",,,,,, feel,, hard
7, have,3082,"(' have', 'NNP')",,,,,, back,, great
8, and,3046,"(' and', 'NNP')",,,,,, sit,, super
9, on,2443,"(' on', 'NNP')",,,,,, slide,, wet
10, in,2078,"(' in', 'NNP')",,,,,, copper,, pain
11, of,1997,"(' of', 'NNP')",,,,,, wear,, hurt
12, that,1987,"(' that', 'NNP')",,,,,, cover,, standard
13, ,1713,"(' ', 'VBD')",,,,,, nose,, brown
14, this,1617,"(' this', 'NNP')",,,,,, rivet,, amazing
15, but,1607,"(' but', 'NNP')",,,,,, gel,, light
16, not,1556,"(' not', 'NNP')",,,,,, weight,, heavy
17, bike,1445,"(' bike', 'NNP')",,,,,, cushy,, dry
18, for,1358,"(' for', 'NNP')",,,,,, replace,, huge
19, ride,1343,"(' ride', 'NNP')",,,,,, change,, fit
20, first,1156,"(' first', 'NNP')",,,,,, price,, uncomfortable
21, with,1130,"(' with', 'NNP')",,,,,, mold,, replace
22, mile,1105,"(' mile', 'NNP')",,,,,, color,, change
23, get,1075,"(' get', 'NNP')",,,,,, anatomic,, flexible
24, so,953,"(' so', 'NNP')",,,,,, perineal,, smooth
25, seat,891,"(' seat', 'NNP')",,,,,,,, padded
26, comfortable,826,"(' comfortable', 'JJ')",,,,,,,,
27, do,826,"(' do', 'NNP')",,,,,,,,
28, one,801,"(' one', 'NN')",,,,,,,,
29, i,781,"(' i', 'NN')",,,,,,,,
30, use,730,"(' use', 'NNP')",,,,,,,,
31, brooks,729,"(' brooks', 'VBZ')",,,,,,,,
32, after,669,"(' after', 'JJR')",,,,,,,,
33, more,664,"(' more', 'RBR')",,,,,,,,
34, than,659,"(' than', 'JJ')",,,,,,,,
35, break,618,"(' break', 'VB')",,,,,,,,
36, leather,613,"(' leather', 'PRP$')",,,,,,,,
37, as,608,"(' as', 'JJ')",,,,,,,,
38, make,593,"(' make', 'NN')",,,,,,,,
39, about,593,"(' about', 'NN')",,,,,,,,
40, look,588,"(' look', 'NN')",,,,,,,,
41, time,578,"(' time', 'NNP')",,,,,,,,
42, well,573,"(' well', 'NNP')",,,,,,,,
43, b,542,"(' b', 'NNP')",,,,,,,,
44, will,537,"(' will', 'NNP')",,,,,,,,
45, very,532,"(' very', 'NNP')",,,,,,,,
46, feel,527,"(' feel', 'NNP')",,,,,,,,
47, from,517,"(' from', 'IN')",,,,,,,,
48, what,502,"(' what', 'NNP')",,,,,,,,
49, pro,497,"(' pro', 'NNP')",,,,,,,,
50, team,497,"(' team', 'NNP')",,,,,,,,
51, old,497,"(' old', 'NNP')",,,,,,,,
52, at,461,"(' at', 'NNP')",,,,,,,,
53, like,461,"(' like', 'NNP')",,,,,,,,
54, buy,446,"(' buy', 'NNP')",,,,,,,,
55,pron,446,"('pron', 'VBZ')",,,,,,,,
56, only,441,"(' only', 'RB')",,,,,,,,
